,Penalty,Scenario,Number of preference trajectories
0,1,Model 1 vs Baseline,0
1,1,Model 1 vs Model 2,0
2,1,Model 1 vs Bad Model,27
3,2,Model 1 vs Baseline,0
4,2,Model 1 vs Model 2,0
5,2,Model 1 vs Bad Model,0
6,9,Model 1 vs Baseline,0
7,9,Model 1 vs Model 2,0
8,9,Model 1 vs Bad Model,0
9,8,Model 1 vs Baseline,0
10,8,Model 1 vs Model 2,67
11,8,Model 1 vs Bad Model,0
12,3,Model 1 vs Baseline,0
13,3,Model 1 vs Model 2,13
14,3,Model 1 vs Bad Model,0
15,4,Model 1 vs Baseline,0
16,4,Model 1 vs Model 2,0
17,4,Model 1 vs Bad Model,0
18,5,Model 1 vs Baseline,0
19,5,Model 1 vs Model 2,1
20,5,Model 1 vs Bad Model,0
21,6,Model 1 vs Baseline,4
22,6,Model 1 vs Model 2,0
23,6,Model 1 vs Bad Model,0
24,7,Model 1 vs Baseline,0
25,7,Model 1 vs Model 2,0
26,7,Model 1 vs Bad Model,0
27,10,Model 1 vs Baseline,0
28,10,Model 1 vs Model 2,0
29,10,Model 1 vs Bad Model,0
